date,limit,spent,saved,total_month_spent,budget
1,0,0,0,0,1000.0
2,0,0,0,0,1000.0
3,0,0,0,0,1000.0
4,0,0,0,0,1000.0
5,0,0,0,0,1000.0
6,0,0,0,0,1000.0
7,0,0,0,0,1000.0
8,0,0,0,0,1000.0
9,0,0,0,0,1000.0
10,0,0,0,0,1000.0
11,0,0,0,0,1000.0
12,0,0,0,0,1000.0
13,0,0,0,0,1000.0
14,0,0,0,0,1000.0
15,0,0,0,0,1000.0
16,0,0,0,0,1000.0
17,0,0,0,0,1000.0
18,0,0,0,0,1000.0
19,0,0,0,0,1000.0
20,0,0,0,0,1000.0
21,0,0,0,0,1000.0
22,0,0,0,0,1000.0
23,0,0,0,0,1000.0
24,0,0,0,0,1000.0
25,0,0,0,0,1000.0
26,200.0,80.0,120.0,80.0,1000.0
27,184.0,100.0,84.0,180.0,1000.0
28,0,0,0,180.0,1000.0
29,0,0,0,180.0,1000.0
30,0,0,0,180.0,1000.0
31,0,0,0,180.0,1000.0
